,WDPAID,soil_c_tot,soil_c_avg,tot_c_tot,tot_c_avg,tot_co2_tot,tot_co2_avg
956,555651452,0.0,0.0,0.0,0.0,0.0,0.0
957,351753,27751.020072013027,290.2162426614481,30316.07808292959,317.0413405088063,111260.00658648885,1163.5415851272016
958,555651460,611.4720567929448,301.2608695652174,702.4711872496051,346.0937818444294,2578.0692848063863,1270.1641474184783
959,6949,47215.66001627509,288.4695417789757,53888.78717244556,329.23976715170147,197771.84891616544,1208.309947513056
960,18273,466.0935257629844,278.63157894736844,493.9391786575698,295.2777035361842,1812.756754909279,1083.669099506579
961,555512085,7875.999500843596,205.55963302752295,9590.060805675268,250.31276877866972,35195.52327697197,918.6478999426605
962,220026,869.2719352038102,265.5945945945946,1019.982675105797,311.64231418918916,3743.336426546754,1143.7270903716217
963,17757,4215804.256163805,281.0255553276463,5075023.575839243,338.33034072073445,18625336.52708584,1241.6723704511999
964,42,17712808.72584129,308.4796235549324,21892743.666714493,381.27593185365464,80346369.25225689,1399.2825851167959
965,555651481,0.0,0.0,0.0,0.0,0.0,0.0
966,555512086,1870260.6116727258,305.83266840127203,2104444.6237367145,344.1256432494941,7723311.770349021,1262.9411968777104
967,555651490,1763.3375668662552,249.575,1894.0516158332412,268.0758544921875,6951.169408923071,983.83837890625
968,4202,1141074.6465075163,187.36135502356964,1972205.1982988305,323.8277105092892,7237993.076319332,1188.4477308438857
